"EC reference","Entity name","Entity type","Regulated donee type","Rec'd by (AU)","Reported under 62:12","Is sponsorship","Donor name","Donor type","Company reg. no.","Postcode","Type of donation","Nature / Provision","Purpose","How dealt with","Value","Received date","Accepted date","Reported date","Reported pre or post poll","Entity ID","Accounting unit ID",
"C0097083","Mr Michael Ellis MP","Regulated Donee","MP - Member of Parliament","",,"Sponsorship","Mr Alexander Temerko","Individual","","","Cash","","","","£5,000.00","05/02/2014","05/02/2014","10/02/2014",,"1519","",
"C0097093","Mr James Wharton MP","Regulated Donee","MP - Member of Parliament","",,,"Mr Peter Cruddas","Individual","","","Cash","","","","£10,000.00","10/02/2014","10/02/2014","19/02/2014",,"1658","",
"C0097094","Mr James Wharton MP","Regulated Donee","MP - Member of Parliament","",,,"United and Cecil Club, 18 Thorney Lane North","Unincorporated Association","","SL0 9JY","Cash","","","","£5,000.00","12/02/2014","12/02/2014","19/02/2014",,"1658","",
"C0097096","Conservative Middle East Council","Regulated Donee","Members Association","",,,"Mr David J Rowland","Individual","","","Cash","","","","£20,000.00","14/02/2014","14/02/2014","27/02/2014",,"1390","",
"C0097105","Ms Helen Hayes","Regulated Donee","Member of Registered Political Party","",,,"Mr Anthony Rifkin","Individual","","","Cash","","","","£2,000.00","01/02/2014","15/02/2014","18/02/2014",,"2296","",
"V0097117","Mr David Amess MP","Regulated Donee","MP - Member of Parliament","",,,"Ministry of Foreign Affairs (Saudi Arabia), c/o Royal Embassy of Saudi Arabia","Other","","W1J 5DZ","Visit","","All party parliamentary delegation at the invitation of the Shura Council, to meet the Deputy Speaker, Foreign Affairs Committee, Second Deputy Premier, government ministers and Governor of the Saudi Arabia Monetary Authority. Also to visit King Saud Unive","","£5,292.00",,"16/02/2014","12/03/2014",,"1189","",
"V0097118","Mr Peter Bone MP","Regulated Donee","MP - Member of Parliament","",,,"Conservative Friends of Israel, 45b Westbourne Terrace","Unincorporated Association","","W2 3UR","Visit","","Fact finding political delegation to Israel and the West Bank.","","£2,000.00",,"11/03/2014","11/03/2014",,"1674","",
"V0097119","Mr Philip Davies","Regulated Donee","MP - Member of Parliament","",,,"Ministry of Foreign Affairs (Saudi Arabia), c/o Royal Embassy of Saudi Arabia","Other","","W1J 5DZ","Visit","","All party parliamentary delegation at the invitation of the Shura Council, to meet the Deputy Speaker, Foreign Affairs Committee, Second Deputy Premier, government ministers and Governor of the Saudi Arabia Monetary Authority. Also to visit King Saud Unive","","£5,292.00",,"16/02/2014","17/03/2014",,"1794","",
"C0097120","Mr Michael Ellis MP","Regulated Donee","MP - Member of Parliament","",,,"Mr David Ross","Individual","","","Cash","","","","£4,000.00","11/03/2014","11/03/2014","12/03/2014",,"1519","",
"V0097121","Mr Mark Field MP","Regulated Donee","MP - Member of Parliament","",,,"Cains, One Love Lane","Other","","EC2V 7JN","Visit","","As member of a Trade Mission organised by the Isle of Man government and led by its Chief Minister.","","£4,800.00",,"08/03/2014","17/03/2014",,"1319","",
"C0097122","The Rt Hon Dr Liam Fox MP","Regulated Donee","MP - Member of Parliament","",,,"Mr Michael Lewis","Individual","","","Cash","","","","£10,000.00","17/03/2014","17/03/2014","20/03/2014",,"1035","",
"C0097123","The Rt Hon Dr Liam Fox MP","Regulated Donee","MP - Member of Parliament","",,,"Mr Mick Davis","Individual","","","Cash","","","","£7,000.00","20/03/2014","21/03/2014","20/03/2014",,"1035","",
"V0097124","The Rt Hon Dr Liam Fox MP","Regulated Donee","MP - Member of Parliament","",,,"The Colonial Williamsburg Foundation, 301 1st Street","Other","","VA 23185","Visit","","To take part in the Williamsburg-CSIS Forum in association with the CSIS Europe Program and the Colonial Williamsburg Foundation.","","£2,665.93",,"16/03/2014","20/03/2014",,"1035","",
"V0097125","Sir Roger Gale MP","Regulated Donee","MP - Member of Parliament","",,,"The Society for the Protection of Animals Abroad, 12 John Street","Other","","WC1N 2EB","Visit","","To view the Society's operation and veterinary and educational facilities in Mauritania, in my capacity as Chairman.","","£1,530.48",,"13/02/2014","11/03/2014",,"1610","",
"V0097126","Mr Robert Halfon","Regulated Donee","MP - Member of Parliament","",,,"Conservative Friends of Israel, 45b Westbourne Terrace","Other","","W2 3UR","Visit","","Fact finding political delegation to Israel and the West Bank.","","£2,000.00",,"16/02/2014","18/03/2014",,"1680","",
"V0097127","Mr Daniel Kawczynski MP","Regulated Donee","MP - Member of Parliament","",,,"Ministry of Foreign Affairs (Saudi Arabia), c/o Royal Embassy of Saudi Arabia","Other","","W1J 5DZ","Visit","","All party parliamentary delegation at the invitation of the Shura Council, to meet the Deputy Speaker, Foreign Affairs Committee, Second Deputy Premier, government ministers and Governor of the Saudi Arabia Monetary Authority. Also to visit King Saud Unive","","£5,292.00",,"16/02/2014","13/03/2014",,"1426","",
"V0097128","Mr Mark Menzies MP","Regulated Donee","MP - Member of Parliament","",,,"Ministry of Foreign Affairs (Saudi Arabia), c/o Royal Embassy of Saudi Arabia","Other","","W1J 5DZ","Visit","","All party parliamentary delegation at the invitation of the Shura Council, to meet the Deputy Speaker, Foreign Affairs Committee, Second Deputy Premier, government ministers and Governor of the Saudi Arabia Monetary Authority. Also to visit King Saud Unive","","£5,292.00",,"16/02/2014","21/03/2014",,"1655","",
"C0097129","Ms Anne Marie Morris MP","Regulated Donee","MP - Member of Parliament","",,,"United and Cecil Club, Beckfield","Unincorporated Association","","SL4 4TN","Cash","","","","£2,500.00","12/02/2014","12/02/2014","06/03/2014",,"1841","",
"V0097131","Mr David Morris","Regulated Donee","MP - Member of Parliament","",,,"Ministry of Foreign Affairs (Saudi Arabia), c/o Royal Embassy of Saudi Arabia","Other","","W1J 5DZ","Visit","","All party parliamentary delegation at the invitation of the Shura Council, to meet the Deputy Speaker, Foreign Affairs Committee, Second Deputy Premier, government ministers and Governor of the Saudi Arabia Monetary Authority. Also to visit King Saud Unive","","£5,292.00",,"16/02/2014","12/03/2014",,"1944","",
"V0097132","Ms Priti Patel MP","Regulated Donee","MP - Member of Parliament","",,,"Sun Mark Ltd, Sun House","Company",":03010238","UB6 8UH","Visit","","Speaker at Gulf Food Fair associated events and meetings with Indian Diaspora business leaders in capacity as Indian Diaspora Champion.","","£3,000.00",,"23/02/2014","10/03/2014",,"1670","",
"NC0097133","Mr Andrew Percy","Regulated Donee","MP - Member of Parliament","",,,"Crohns and Colitis UK, 4 Beaumont House","Other","","AL1 5HH","Non Cash","Staff costs","","","£5,640.00","03/03/2014","03/03/2014","07/03/2014",,"1778","",
"NC0097134","Mr Dominic Raab MP","Regulated Donee","MP - Member of Parliament","",,,"Esher and Walton Connect, A","Unincorporated Association","","AA1 1AA","Non Cash","Other","","","£3,002.54","21/02/2014","21/02/2014","26/02/2014",,"1644","",
"NC0097135","Mr Dominic Raab MP","Regulated Donee","MP - Member of Parliament","",,,"Esher and Walton Connect, A","Unincorporated Association","","AA1 1AA","Non Cash","Other","","","£3,002.54","26/02/2014","26/02/2014","26/02/2014",,"1644","",
"NC0097136","Ms Chloe Smith MP","Regulated Donee","MP - Member of Parliament","",,,"Computer Service Centre, 19 Meridian Way","Company",":4517529","NR7 0TA","Non Cash","Other","","","£14,656.62","01/02/2014","01/02/2014","27/02/2014",,"1599","",
"V0097137","Mr Graham Stuart MP","Regulated Donee","MP - Member of Parliament","",,,"Globe UK, 9 Dartmouth Street","Other","","SW1H 9BL","Visit","","2nd Globe climate legislation summit.","","£2,703.95",,"26/02/2014","24/03/2014",,"1339","",
"C0097138","Mr James Wharton MP","Regulated Donee","MP - Member of Parliament","",,,"Sir John Hall","Individual","","","Cash","","","","£5,000.00","19/02/2014","19/02/2014","18/03/2014",,"1658","",
"C0097139","Mr James Wharton MP","Regulated Donee","MP - Member of Parliament","",,,"Mr Alexander Temerko","Individual","","","Cash","","","","£5,000.00","17/03/2014","17/03/2014","18/03/2014",,"1658","",
"V0097140","Ms Heather Wheeler MP","Regulated Donee","MP - Member of Parliament","",,,"Ministry of Foreign Affairs (Saudi Arabia), c/o Royal Embassy of Saudi Arabia","Other","","W1J 5DZ","Visit","","All party parliamentary delegation at the invitation of the Shura Council, to meet the Deputy Speaker, Foreign Affairs Committee, Second Deputy Premier, government ministers and Governor of the Saudi Arabia Monetary Authority. Also to visit King Saud Unive","","£5,292.00",,"16/02/2014","12/03/2014",,"1672","",
"V0097141","The Rt Hon Kevin Barron","Regulated Donee","MP - Member of Parliament","",,,"Sigma Pharmaceuticals PLC, Unit 1-7 Colonial Way","Company",":01561802","WD24 4YR","Visit","","To deliver a one hour speech as Chair of the All Party Parliamentary Group on Pharmacy at the conference of Sigma Pharmaceuticals in Cancun Mexico, on 17 February 2014.","","£3,650.00",,"15/02/2014","12/03/2014",,"2321","",
"V0097142","The Rt Hon Alistair Burt","Regulated Donee","MP - Member of Parliament","",,,"Kurdistan Regional Government, c/o Lower Ground Floor","Other","","SW1E 6LB","Visit","","Kurdistan Region in Iraq APPG fact-finding trip to Erbil and Balisa village to meet ministers, civil society organizations and others.","","£3,000.00",,"15/02/2014","17/03/2014",,"2322","",
"V0097143","The Rt Hon Alistair Burt","Regulated Donee","MP - Member of Parliament","",,,"United Arab Emirates Ministry of Foreign Affairs (MOFA), MOFA","Other","","ZZ1 1ZZ","Visit","","Meetings and visits as Chair of the APPG UAE.","","£7,000.00",,"21/02/2014","17/03/2014",,"2322","",
"V0097144","Mr James Clappison","Regulated Donee","MP - Member of Parliament","",,,"Conservative Friends of Israel, c/o Shelley Stock Hunter LLP","Unincorporated Association","","W1G 9DG","Visit","","Fact finding political delegation.","","£2,000.00",,"16/02/2014","21/03/2014",,"2323","",
"C0097145","Ms Rowenna Davis","Regulated Donee","Member of Registered Political Party","",,,"Mr Ian Davis","Individual","","","Cash","","","","£5,000.00","14/03/2014","14/03/2014","02/04/2014",,"2259","",
"C0097146","Conservative Middle East Council","Regulated Donee","Members Association","",,,"International Hospitals Group Ltd, Stoke Park Club","Company",":01482891","SL2 4BG","Cash","","","","£20,000.00","14/03/2014","14/03/2014","01/04/2014",,"1390","",
"C0097147","Mr David Warburton","Regulated Donee","Member of Registered Political Party","",,,"Mr Timothy Sanderson","Individual","","","Cash","","","","£5,000.00","24/03/2014","26/03/2014","28/03/2014",,"2225","",
"C0097148","Conservative Christian Fellowship","Regulated Donee","Members Association","",,,"Mr Michael Farmer","Individual","","","Cash","","","","£75,000.00","24/03/2014","24/03/2014","26/03/2014",,"1305","",
"NC0097149","Ms Anne-Marie Trevelyan","Regulated Donee","Member of Registered Political Party","",,,"Trevelyan Campaign Fund, Witton Shield House","Unincorporated Association","","NE61 4NL","Non Cash","Other","","","£2,340.00","11/03/2014","11/03/2014","14/03/2014",,"2192","",
"NC0097150","Ms Anne-Marie Trevelyan","Regulated Donee","Member of Registered Political Party","",,,"Trevelyan Campaign Fund, Witton Shield House","Unincorporated Association","","NE61 4NL","Non Cash","Other","","","£2,340.00","11/03/2014","11/03/2014","14/03/2014",,"2192","",
"C0097151","Ms Rebecca Pow","Regulated Donee","Member of Registered Political Party","",,,"Mr Philip Gibbs","Individual","","","Cash","","","","£5,000.00","25/02/2014","25/02/2014","26/03/2014",,"2326","",
"C0097152","Ms Rebecca Pow","Regulated Donee","Member of Registered Political Party","",,,"Mr Robert Brooks","Individual","","","Cash","","","","£5,000.00","05/03/2014","05/03/2014","26/03/2014",,"2326","",
"C0097153","Movement for Change","Regulated Donee","Members Association","",,,"Lord David Sainsbury","Individual","","","Cash","","","","£50,000.00","07/03/2014","07/03/2014","10/03/2014",,"1731","",
"C0097156","Plaid Cymru - The Party of Wales","Political Party","","Ynys Mon",,,"Mr Evan Henry Parry","Individual","","","Cash","","","","£121,891.43","10/03/2014","10/03/2014","30/04/2014",,"77","2852",
"C0097157","Co-operative Party","Political Party","","Midlands Eastern & Southern",,,"Central England Co-operative, Hermes Road","Friendly Society","","WS13 6RH","Cash","","","","£20,000.00","16/04/2014","18/04/2014","24/07/2014",,"119","864",
"C0097158","Co-operative Party","Political Party","","Midlands Northern",,,"Central England Co-operative, Hermes Road","Friendly Society","","WS13 6RH","Cash","","","","£10,000.00","16/04/2014","18/04/2014","24/07/2014",,"119","865",
"C0097159","Co-operative Party","Political Party","","Midlands Western",,,"Central England Co-operative, Hermes Road","Friendly Society","","WS13 6RH","Cash","","","","£10,000.00","16/04/2014","18/04/2014","24/07/2014",,"119","866",
"NC0097160","We Demand A Referendum Now","Political Party","","",,,"Miss Nicole Sinclaire","Individual","","","Non Cash","Advertising","","","£22,515.50","15/03/2014","30/03/2014","24/04/2014",,"882","",
"C0097161","We Demand A Referendum Now","Political Party","","",,,"Mr Anthony Scholefield","Individual","","","Cash","","","","£2,000.00","01/03/2014","07/03/2014","24/04/2014",,"882","",
"C0097169","Green Party","Political Party","","Wales",,,"Mr Chris Guy Borril Simpson","Individual","","","Cash","","","","£5,000.00","17/03/2014","20/03/2014","30/04/2014",,"63","3712",
"C0097170","Green Party","Political Party","","Sheffield & Rotherham",,,"Mr David Hayes","Individual","","","Cash","","","","£2,500.00","07/03/2014","10/03/2014","30/04/2014",,"63","3664",
"C0097174","British National Party","Political Party","","",,,"Mr James Wilfred Kirshaw","Individual","","","Cash","","","","£30,000.00","03/02/2014","03/02/2014","30/04/2014",,"106","",
"C0097175","British National Party","Political Party","","",,,"Mr James Wilfred Kirshaw","Individual","","","Cash","","","","£20,000.00","05/02/2014","05/02/2014","30/04/2014",,"106","",
"C0097176","British National Party","Political Party","","",,,"Mr James Wilfred Kirshaw","Individual","","","Cash","","","","£70,000.00","25/03/2014","25/03/2014","30/04/2014",,"106","",
"C0097181","Green Party","Political Party","","London Federation",,,"Ms Jean Lambert MEP","Individual","","","Cash","","","","£600.00","03/02/2014","13/02/2014","30/04/2014",,"63","3602",
"C0097182","Green Party","Political Party","","London Federation",,,"Ms Jean Lambert MEP","Individual","","","Cash","","","","£600.00","03/03/2014","27/03/2014","30/04/2014",,"63","3602",
"C0097183","Green Party","Political Party","","South East Region",,,"Mr John L Pemberton","Individual","","","Cash","","","","£10,000.00","15/02/2014","28/02/2014","30/04/2014",,"63","3674",
"C0097184","Green Party","Political Party","","North West Region",,,"Mr Mike Smee","Individual","","","Cash","","","","£2,000.00","13/03/2014","17/03/2014","30/04/2014",,"63","3638",
"C0097185","Green Party","Political Party","","",,,"Mr Raymond S Morris","Individual","","","Cash","","","","£183,712.57","07/03/2014","07/03/2014","30/04/2014",,"63","",
"C0097186","Green Party","Political Party","","Eastern Region",,,"Mr Rupert Read","Individual","","","Cash","","","","£5,600.00","01/02/2014","01/02/2014","30/04/2014",,"63","3556",
"C0097187","Green Party","Political Party","","Eastern Region",,,"Mr Rupert Read","Individual","","","Cash","","","","£2,500.00","08/02/2014","08/02/2014","30/04/2014",,"63","3556",
"C0097188","Green Party","Political Party","","Eastern Region",,,"Mr Rupert Read","Individual","","","Cash","","","","£1,526.00","21/03/2014","21/03/2014","30/04/2014",,"63","3556",
"PF0097192","Green Party","Political Party","","",,,"House of Commons","Public Fund","","SW1A 0AA","Public Funds","Short Money (House of Commons)","","","£5,206.08","28/02/2014","28/02/2014","30/04/2014",,"63","",
"PF0097193","Green Party","Political Party","","",,,"House of Commons","Public Fund","","SW1A 0AA","Public Funds","Short Money (House of Commons)","","","£5,206.08","26/03/2014","26/03/2014","30/04/2014",,"63","",
"C0097199","UK Independence Party (UKIP)","Political Party","","Eastern Counties",,,"Mr John S Agnew","Individual","","","Cash","","","","£550.00","28/02/2014","28/02/2014","30/04/2014",,"85","3181",
"C0097200","UK Independence Party (UKIP)","Political Party","","Eastern Counties",,,"Mr John S Agnew","Individual","","","Cash","","","","£550.00","31/03/2014","31/03/2014","30/04/2014",,"85","3181",
"C0097201","UK Independence Party (UKIP)","Political Party","","Wales",,,"Ms Helen Appelbee","Individual","","","Cash","","","","£10,000.00","24/02/2014","24/02/2014","30/04/2014",,"85","3438",
"C0097202","UK Independence Party (UKIP)","Political Party","","North East",,,"Mr Jonathan Arnott","Individual","","","Cash","","","","£5,757.00","13/02/2014","13/02/2014","30/04/2014",,"85","3288",
"C0097204","UK Independence Party (UKIP)","Political Party","","North East",,,"Mr Jonathan Arnott","Individual","","","Cash","","","","£2,000.00","21/02/2014","21/02/2014","30/04/2014",,"85","3288",
"NC0097205","UK Independence Party (UKIP)","Political Party","","North East",,,"Mr Jonathan Arnott","Individual","","","Non Cash","Other","","","£594.00","13/02/2014","13/02/2014","30/04/2014",,"85","3288",
"C0097206","UK Independence Party (UKIP)","Political Party","","",,,"Mr Robin Birley","Individual","","","Cash","","","","£25,000.00","13/02/2014","13/02/2014","30/04/2014",,"85","",
"C0097207","UK Independence Party (UKIP)","Political Party","","",,,"Mr Robin Birley","Individual","","","Cash","","","","£25,000.00","28/03/2014","28/03/2014","30/04/2014",,"85","",
"C0097208","UK Independence Party (UKIP)","Political Party","","South West Regional Branch",,,"Mr Guy Brook","Individual","","","Cash","","","","£13,000.00","24/02/2014","24/02/2014","30/04/2014",,"85","3386",
"C0097209","UK Independence Party (UKIP)","Political Party","","Tiverton & Honiton",,,"Mr Guy Brook","Individual","","","Cash","","","","£7,000.00","26/02/2014","26/02/2014","30/04/2014",,"85","3424",
"C0097210","UK Independence Party (UKIP)","Political Party","","Scotland",,,"Bruce Douglas Marketing Limited, Block 22 Kilspindie Road","Company",":SC059670","DD2 3JP","Cash","","","","£2,000.00","28/03/2014","28/03/2014","30/04/2014",,"85","3348",
"C0097211","UK Independence Party (UKIP)","Political Party","","Hemel Hempstead",,,"Mr William Cole","Individual","","","Cash","","","","£2,500.00","12/03/2014","12/03/2014","30/04/2014",,"85","4670",
"C0097212","UK Independence Party (UKIP)","Political Party","","Scotland",,,"Professor Tim Congdon","Individual","","","Cash","","","","£5,000.00","21/03/2014","21/03/2014","30/04/2014",,"85","3348",
"C0097213","UK Independence Party (UKIP)","Political Party","","South East Regional Branch",,,"D.Macintyre & Son Limited, Unit 9 Carters lane","Company",":00553444","MK11 3ER","Cash","","","","£3,000.00","05/03/2014","05/03/2014","30/04/2014",,"85","3370",
"C0097215","UK Independence Party (UKIP)","Political Party","","North West",,,"Gibraltar (UK) Ltd, 205/207 Church Street","Company",":02902281","FY1 3PA","Cash","","","","£2,000.00","25/03/2014","25/03/2014","30/04/2014",,"85","3289",
"C0097217","UK Independence Party (UKIP)","Political Party","","",,,"Growth Financial Services Ltd, 6 Stratton Street","Company",":01692312","W1J 8LD","Cash","","","","£50,000.00","19/02/2014","19/02/2014","30/04/2014",,"85","",
"C0097218","UK Independence Party (UKIP)","Political Party","","",,,"Mr Leslie Kaye","Individual","","","Cash","","","","£10,000.00","20/02/2014","25/02/2014","30/04/2014",,"85","",
"NC0097219","UK Independence Party (UKIP)","Political Party","","",,,"Mura Estates LLP, First Floor Kirkdale House","Limited Liability Partnership","","E11 1HP","Non Cash","Other","","","£35,000.00","17/02/2014","17/02/2014","30/04/2014",,"85","",
"C0097220","UK Independence Party (UKIP)","Political Party","","",,,"Mura Estates LLP, First Floor Kirkdale House","Limited Liability Partnership","","E11 1HP","Cash","","","","£30,000.00","26/02/2014","26/02/2014","30/04/2014",,"85","",
"C0097221","UK Independence Party (UKIP)","Political Party","","South West Regional Branch",,,"Dr Julia Reid","Individual","","","Cash","","","","£5,000.00","06/02/2014","06/02/2014","30/04/2014",,"85","3386",
"C0097222","UK Independence Party (UKIP)","Political Party","","",,,"RMPI LLP, Moss House","Limited Liability Partnership","","W1K 4DS","Cash","","","","£9,015.55","27/02/2014","27/02/2014","30/04/2014",,"85","",
"C0097223","UK Independence Party (UKIP)","Political Party","","",,,"RMPI LLP, Moss House","Limited Liability Partnership","","W1K 4DS","Cash","","","","£9,015.55","27/03/2014","27/03/2014","30/04/2014",,"85","",
"C0097224","UK Independence Party (UKIP)","Political Party","","West Midlands Regional Branch",,,"Seymour Manufacturing International Ltd, Sutton Hall","Company",":02322042","TF11 9NQ","Cash","","","","£12,000.00","26/02/2014","26/02/2014","30/04/2014",,"85","3462",
"C0097225","UK Independence Party (UKIP)","Political Party","","Eastern Counties",,,"Stockvale Ltd, 9 Nelson Street","Company",":01253715","SS1 1EH","Cash","","","","£5,000.00","27/03/2014","27/03/2014","30/04/2014",,"85","3181",
"C0097227","UK Independence Party (UKIP)","Political Party","","Bracknell",,,"Mr Richard Thomas","Individual","","","Cash","","","","£2,000.00","05/02/2014","05/02/2014","30/04/2014",,"85","4830",
"C0097230","UK Independence Party (UKIP)","Political Party","","",,,"Mr Stuart Wheeler","Individual","","","Cash","","","","£150,000.00","04/02/2014","04/02/2014","30/04/2014",,"85","",
"C0097231","UK Independence Party (UKIP)","Political Party","","",,,"Mr Stuart Wheeler","Individual","","","Cash","","","","£10,000.00","17/03/2014","19/03/2014","30/04/2014",,"85","",
"C0097232","UK Independence Party (UKIP)","Political Party","","",,,"Mr Stuart Wheeler","Individual","","","Cash","","","","£35,000.00","31/03/2014","31/03/2014","30/04/2014",,"85","",
"C0097233","UK Independence Party (UKIP)","Political Party","","North West",,,"Dr John Whittaker","Individual","","","Cash","","","","£5,000.00","31/03/2014","31/03/2014","30/04/2014",,"85","3289",
"C0097240","UK Independence Party (UKIP)","Political Party","","London",,,"Mr Gerard Batten","Individual","","","Cash","","","","£2,000.00","24/02/2014","24/02/2014","30/04/2014",,"85","3257",
"C0097241","UK Independence Party (UKIP)","Political Party","","London",,," A Fathers","Individual","","","Cash","","","","£3,000.00","20/02/2014","20/02/2014","30/04/2014",,"85","3257",
"C0097242","UK Independence Party (UKIP)","Political Party","","London",,,"Ms Alena Korbel","Individual","","","Cash","","","","£1,000.00","28/02/2014","28/02/2014","30/04/2014",,"85","3257",
"C0097243","UK Independence Party (UKIP)","Political Party","","London",,,"Ms Alena Korbel","Individual","","","Cash","","","","£1,000.00","26/03/2014","26/03/2014","30/04/2014",,"85","3257",
"C0097259","Scottish National Party (SNP)","Political Party","","",,," Christine Weir","Individual","","","Cash","","","","£500,000.00","10/02/2014","10/02/2014","30/04/2014",,"102","",
"C0097260","Scottish National Party (SNP)","Political Party","","",,," Colin Weir","Individual","","","Cash","","","","£500,000.00","10/02/2014","10/02/2014","30/04/2014",,"102","",
"C0097261","Scottish National Party (SNP)","Political Party","","",,,"Mr William Samuel","Individual","","","Cash","","","","£10,000.00","07/03/2014","07/03/2014","30/04/2014",,"102","",
"PF0097268","Scottish National Party (SNP)","Political Party","","",,,"House of Commons","Other","","SW1A 0AA","Public Funds","Short Money (House of Commons)","","","£14,768.67","28/02/2014","28/02/2014","30/04/2014",,"102","",
"PF0097269","Scottish National Party (SNP)","Political Party","","",,,"House of Commons","Other","","SW1A 0AA","Public Funds","Short Money (House of Commons)","","","£14,768.67","28/03/2014","28/03/2014","30/04/2014",,"102","",
"C0097270","Green Party","Political Party","","West Midlands Region",,,"Mrs Janet Alty","Individual","","","Cash","","","","£2,500.00","28/03/2014","28/03/2014","30/04/2014",,"63","3732",
"C0097275","The Rt Hon Dr Liam Fox MP","Regulated Donee","MP - Member of Parliament","",,,"Midland Chilled Foods Ltd, 75D Station Rd","Company",":01104045","DE13 8DS","Cash","","","","£10,000.00","28/03/2014","01/04/2014","01/04/2014",,"1035","",
"V0097276","The Rt Hon Sajid Javid","Regulated Donee","MP - Member of Parliament","",,,"American Enterprise Institute, 1150 Seventeenth Street NW","Other","","DC 20036","Visit","","To attend and speak at conference to discuss contemporary political and economic issues with policy-makers from other countries.","","£3,707.42",,"06/03/2014","02/04/2014",,"1797","",
"C0097277","Mr John Bercow MP","Regulated Donee","MP - Member of Parliament","",,,"Mr Michael Keegan","Individual","","","Cash","","","","£5,000.00","16/03/2014","24/03/2014","27/03/2014",,"1350","",
"C0097278","Mr John Bercow MP","Regulated Donee","MP - Member of Parliament","",,,"Lord Michael Levy","Individual","","","Cash","","","","£2,500.00","18/03/2014","24/03/2014","27/03/2014",,"1350","",
"NC0097279","Mr Mike Freer","Regulated Donee","MP - Member of Parliament","",,,"Ms Alison Frost","Individual","","","Non Cash","Other","","","£1,610.00","11/11/2013","11/02/2014","27/03/2014",,"1775","",
"C0097280","The Rt Hon John Healey MP","Regulated Donee","MP - Member of Parliament","",,,"PriceWaterhouse Coopers LLP, 7 More London Riverside","Limited Liability Partnership","","SE1 2RT","Cash","","","","£32,670.00","01/04/2014","01/04/2014","02/04/2014",,"1796","",
"C0097281","The Rt Hon Nick Herbert MP","Regulated Donee","MP - Member of Parliament","",,,"Mr Julian Horn-Smith","Individual","","","Cash","","","","£5,000.00","27/03/2014","27/03/2014","31/03/2014",,"1335","",
"V0097282","The Rt Hon Nick Herbert MP","Regulated Donee","MP - Member of Parliament","",,,"Conservative Friends of Israel, 45b Westbourne Terrace","Unincorporated Association","","W2 3UR","Visit","","Fact-finding political delegation to Israel and the West Bank.","","£2,000.00",,"16/02/2014","31/03/2014",,"1335","",
"V0097283","Mr Iain Wright MP","Regulated Donee","MP - Member of Parliament","",,,"North East Process Industry Cluster (NEPIC), Room H224","Other","","TS10 4RF","Visit","","Process industry trade mission.","","£3,391.00",,"01/03/2014","28/03/2014",,"1461","",
"C0097287","Dr Caroline Lucas MP","Regulated Donee","MP - Member of Parliament","",,,"Mr James Arbib","Individual","","","Cash","","","","£10,000.00","08/04/2014","23/04/2014","24/04/2014",,"1864","",
"NC0097288","Mr Stephen McPartland MP","Regulated Donee","MP - Member of Parliament","",,,"Stevenage First, Caxton Villa","Other","","SG3 6PF","Non Cash","Other","","","£3,926.00","31/03/2014","31/03/2014","16/04/2014",,"1729","",
"V0097289","The Rt Hon Jack Straw MP","Regulated Donee","MP - Member of Parliament","",,,"Akfen Holding, Koza Sok No, 22 GOP","Other","","ZZ0 0ZZ","Visit","","To meet a senior member of the Turkish government.","","£6,753.30",,"22/03/2014","28/04/2014",,"1539","",
"V0097290","Mr Gary Nicholas Streeter MP","Regulated Donee","MP - Member of Parliament","",,,"United Bible Societies China Partnership, Citimac 60-03","Other","","368240","Visit","","To meet church leaders and discuss the role of the Christian church in China.","","£3,138.00",,"06/04/2014","23/04/2014",,"1167","",
"NC0097292","Mr Edward Timpson MP","Regulated Donee","MP - Member of Parliament","",,,"Timpson Ltd, Claverton Road","Company",":00675216","M23 9TT","Non Cash","Staff costs","","","£85,000.00","01/04/2014","01/04/2014","16/04/2014",,"1552","",
"NC0097293","Ms Anne-Marie Trevelyan","Regulated Donee","Member of Registered Political Party","",,,"Trevelyan Campaign Fund, Witton Shield House","Unincorporated Association","","NE61 4NL","Non Cash","Other","","","£2,340.00","21/04/2014","21/04/2014","24/04/2014",,"2192","",
"C0097294","Progress Ltd","Regulated Donee","Members Association","",,,"Lord David Sainsbury","Individual","","","Cash","","","","£65,000.00","01/04/2014","03/04/2014","07/04/2014",,"1306","",
"V0097295","Mr John Woodcock","Regulated Donee","MP - Member of Parliament","",,,"Kurdistan Regional Government, c/o Lower Ground Floor","Other","","SW1E 6LB","Visit","","Kurdistan Region in Iraq APPG fact-finding trip, including the Kurdistan Children’s Hospital to meet ministers, civil society organisations and others.","","£3,000.00",,"15/02/2014","07/04/2014",,"2360","",
"C0097296","Mr Guto Bebb MP","Regulated Donee","MP - Member of Parliament","",,,"Mr Alexander Temerko","Individual","","","Cash","","","","£5,000.00","26/03/2014","26/03/2014","09/04/2014",,"2361","",
"V0097297","The Rt Hon Alistair Darling MP","Regulated Donee","MP - Member of Parliament","",,,"International Monetary Fund, 700 19th St NW","Other","","20431","Visit","","To attend meeting of the IMF on 8 April 2014.","","£7,312.42",,"07/04/2014","22/04/2014",,"2362","",
"NC0097298","Ms Sarah Newton","Regulated Donee","MP - Member of Parliament","",,,"Mr Alan Newton","Individual","","","Non Cash","Advertising","","","£5,936.40","28/03/2014","28/03/2014","22/04/2014",,"2363","",
