mpid	firstname	surname	party
40583	Robert	Flello	Lab
40206	Caroline	Flint	Lab
40424	Paul	Flynn	Lab
40062	Don	Foster	LDem
40384	Yvonne	Fovargue	Lab
40445	Liam	Fox	Con
40034	Hywel	Francis	Lab
40491	Mark	Francois	Con
40396	George	Freeman	Con
40261	Mike	Freer	Con
40551	Lorraine	Fullbrook	Con
40067	Richard	Fuller	Con
40447	Roger	Gale	Con
40690	George	Galloway	Res
40329	Mike	Gapes	Lab
40114	Barry	Gardiner	Lab
40297	Edward	Garnier	Con
40678	Mark	Garnier	Con
40559	David	Gauke	Con
40572	Andrew	George	LDem
40097	Nick	Gibb	Con
40569	Stephen	Gilbert	LDem
40164	Cheryl	Gillan	Con
40238	Sheila	Gilmore	Lab
40451	Pat	Glass	Lab
40518	John	Glen	Con
40448	Mary	Glindon	Lab
40082	Roger	Godsiff	Lab
40679	Paul	Goggins	Lab
40500	Zac	Goldsmith	Con
40089	Helen	Goodman	Lab
40519	Robert	Goodwill	Con
40593	Michael	Gove	Con
40279	Richard	Graham	Con
40383	Helen	Grant	Con
40455	James	Gray	Con
40250	Chris	Grayling	Con
40514	Tom	Greatrex	Lab
40049	Damian	Green	Con
40589	Kate	Green	Lab
40490	Justine	Greening	Con
40462	Lilian	Greenwood	Lab
40065	Dominic	Grieve	Con
40375	Nia	Griffith	Lab
40133	Andrew	Griffiths	Con
40332	Ben	Gummer	Con
40200	Andrew	Gwynne	Lab
40232	Sam	Gyimah	Con
40499	William	Hague	Con
40414	Peter	Hain	Lab
40298	Robert	Halfon	Con
40168	Duncan	Hames	LDem
40402	David	Hamilton	Lab
40355	Fabian	Hamilton	Lab
40512	Philip	Hammond	Con
40659	Stephen	Hammond	Con
40652	Matthew	Hancock	Con
40486	Mike	Hancock	LDem
40162	Greg	Hands	Con
40199	David	Hanson	Lab
40140	Harriet	Harman	Lab
40263	Mark	Harper	Con
40637	Richard	Harrington	Con
40153	Rebecca	Harris	Con
40276	Tom	Harris	Lab
40151	Simon	Hart	Con
40431	Nick	Harvey	LDem
40516	Alan	Haselhurst	Con
40392	Dai	Havard	Lab
40547	John	Hayes	Con
40440	Oliver	Heald	Con
40644	John	Healey	Lab
40538	David	Heath	LDem
40198	Chris	Heaton-Harris	Con
40088	John	Hemming	LDem
40533	Gordon	Henderson	Con
40488	Mark	Hendrick	Lab
40639	Charles	Hendry	Con
40337	Stephen	Hepburn	Lab
40047	Nick	Herbert	Con
40433	Lady	Hermon	Ind
40050	David	Heyes	Lab
40290	Meg	Hillier	Lab
40101	Julie	Hilling	Lab
40227	Damian	Hinds	Con
40256	Mark	Hoban	Con
40055	Margaret	Hodge	Lab
40636	Sharon	Hodgson	Lab
40624	Kate	Hoey	Lab
40390	George	Hollingbery	Con
40341	Philip	Hollobone	Con
40284	Adam	Holloway	Con
40351	Jimmy	Hood	Lab
40379	Kelvin	Hopkins	Lab
40338	Kris	Hopkins	Con
40163	Martin	Horwood	LDem
40215	Stewart	Hosie	SNP
40349	George	Howarth	Lab
40039	Gerald	Howarth	Con
40311	John	Howell	Con
40170	Lindsay	Hoyle	Lab
40072	Simon	Hughes	LDem
40236	Christopher	Huhne	LDem
40561	Jeremy	Hunt	Con
40581	Tristram	Hunt	Lab
40160	Mark	Hunter	LDem
40142	Julian	Huppert	LDem
40511	Nick	Hurd	Con
40056	Eric	Illsley	Lab
40465	Huw	Irranca-Davies	Lab
40296	Glenda	Jackson	Lab
40479	Stewart	Jackson	Con
40585	Margot	James	Con
40596	Si&acirc;n	James	Lab
40342	Cathy	Jamieson	Lab
40685	Dan	Jarvis	Lab
40128	Sajid	Javid	Con
40303	Bernard	Jenkin	Con
40701	Robert	Jenrick	Con
40346	Alan	Johnson	Lab
40345	Diana	Johnson	Lab
40197	Gareth	Johnson	Con
40470	Jo	Johnson	Con
40299	Andrew	Jones	Con
40178	David	Jones	Con
